numofNodes: 16
numofPeriods: 9
VehicleNum: 8
VehicleCapacity: 990
Node	X    Y      InvCost  	 InitialInv  	MinLevelInv	MaxLevelInv	Demand0     Demand1     Demand2     Demand3     Demand4     Demand5     Demand6     Demand7     Demand8     
0	397	456	0.36	843	0	3330	977	916	739	772	860	882	891	701	986	
1	200	22	0.52	72	0	240	55	67	45	41	80	51	58	50	76	
2	258	100	0.52	52	0	261	75	75	67	22	87	21	32	49	16	
3	84	54	0.64	39	0	196	98	36	34	77	52	24	77	68	23	
4	485	177	0.76	34	0	172	51	68	38	38	53	64	84	86	52	
5	89	158	0.69	43	0	144	66	41	42	72	30	52	58	12	45	
6	354	441	0.5	57	0	192	35	11	48	82	41	96	94	82	69	
7	1	482	0.71	38	0	190	68	25	64	95	63	17	44	41	88	
8	248	458	0.55	85	0	285	69	95	90	18	24	51	81	23	72	
9	329	89	0.59	39	0	198	95	71	17	86	60	71	74	48	99	
10	114	352	0.5	59	0	198	84	82	37	10	80	96	20	99	95	
11	374	43	0.66	37	0	188	35	94	21	50	25	50	49	19	81	
12	364	236	0.77	87	0	291	53	82	51	97	68	90	24	16	79	
13	6	155	0.62	60	0	300	100	86	49	10	43	63	94	42	39	
14	126	293	0.51	83	0	279	32	63	48	26	93	38	70	29	79	
15	209	123	0.63	58	0	196	61	20	88	48	61	98	32	37	73	
CostMatrix
0 476 382 509 292 428 45 396 149 373 301 413 222 493 316 382 
476 0 97 120 324 175 446 501 438 145 341 175 269 235 280 101 
382 97 0 179 239 178 354 460 358 71 290 129 172 257 233 54 
509 120 179 0 419 104 471 435 436 247 299 290 333 127 242 142 
292 324 239 419 0 396 294 572 367 179 410 174 134 479 377 281 
428 175 178 104 396 0 387 335 339 249 195 307 285 83 139 125 
45 446 354 471 294 387 0 355 107 352 255 398 205 450 271 349 
396 501 460 435 572 335 355 0 248 511 172 576 438 327 226 414 
149 438 358 436 367 339 107 248 0 377 170 433 250 387 205 337 
373 145 71 247 179 249 352 511 377 0 339 64 151 329 287 124 
301 341 290 299 410 195 255 172 170 339 0 403 275 224 60 247 
413 175 129 290 174 307 398 576 433 64 403 0 193 384 352 183 
222 269 172 333 134 285 205 438 250 151 275 193 0 367 244 191 
493 235 257 127 479 83 450 327 387 329 224 384 367 0 182 205 
316 280 233 242 377 139 271 226 205 287 60 352 244 182 0 189 
382 101 54 142 281 125 349 414 337 124 247 183 191 205 189 0 
